"","X10619_tumor.printed_rna"
"AC004554.1",0
"AC004554.2",0
"AC004556.1",0
"AC004584.1",1
"AC004584.2",3
"AC004584.3",0
"AC004585.1",0
"AC004585.2",0
"AC004590.1",0
"AC004593.1",96
"AC004593.2",0
"AC004593.3",13
"AC004594.1",43
"AC004596.1",230
"AC004597.1",0
"AC004623.1",512
"AC004637.1",7
"AC004656.1",0
"AC004672.1",12
"AC004672.2",0
"AC004674.1",0
"AC004675.1",0
"AC004675.2",0
"AC004678.1",0
"AC004678.2",0
"AC004687.1",0
"AC004687.2",0
"AC004690.1",0
"AC004690.2",0
"AC004691.1",0
"AC004691.2",0
"AC004692.1",0
"AC004692.2",0
"AC004696.1",4
"AC004696.2",0
"AC004702.1",0
"AC004704.1",0
"AC004706.1",2
"AC004706.2",0
"AC004706.3",0
"AC004707.1",462
"AC004754.1",0
"AC004765.1",1565
"AC004771.1",928
"AC004771.2",102
"AC004771.3",3
"AC004771.4",104
"AC004771.5",16
"AC004775.1",939
"AC004777.1",0
"AC004784.1",0
"AC004789.1",0
"AC004790.1",0
"AC004790.2",0
"AC004792.1",0
"AC004801.1",37
"AC004801.2",0
"AC004801.3",0
"AC004801.4",0
"AC004801.5",0
"AC004801.6",0
"AC004801.7",0
"AC004803.1",5
"AC004805.1",0
"AC004805.2",0
"AC004805.3",0
"AC004808.1",0
"AC004808.2",0
"AC004812.1",0
"AC004812.2",2
"AC004816.1",0
"AC004816.2",1
"AC004817.1",0
"AC004817.2",0
"AC004817.3",0
"AC004817.4",0
"AC004824.1",0
"AC004824.2",0
"AC004825.1",0
"AC004825.2",0
"AC004828.1",0
"AC004830.1",3864
"AC004832.1",522
"AC004832.2",0
"AC004832.3",0
"AC004832.4",12
"AC004832.5",5
"AC004832.6",0
"AC004834.1",0
"AC004835.1",0
"AC004835.2",0
"AC004836.1",0
"AC004837.1",0
"AC004837.2",100
"AC004837.3",0
"AC004839.1",0
"AC004839.2",0
"AC004840.1",0
"AC004840.2",0
"AC004846.1",1
"AC004846.2",3
"AC004847.1",0
"AC004852.1",0
"AC004852.2",0
"AC004852.3",0
"AC004852.4",0
"AC004852.5",0
"AC004852.6",0
"AC004853.1",0
"AC004853.2",0
"AC004854.1",0
"AC004854.2",223
"AC004858.1",0
"AC004862.1",0
"AC004865.1",12
"AC004865.2",1
"AC004866.1",0
"AC004866.2",0
"AC004869.1",0
"AC004869.2",0
"AC004870.1",0
"AC004870.2",0
"AC004870.3",0
"AC004870.4",0
"AC004872.1",0
"AC004875.1",0
"AC004877.1",364
"AC004877.2",0
"AC004882.1",0
"AC004882.2",0
"AC004884.1",6
"AC004884.2",16
"AC004888.1",0
"AC004889.1",1
"AC004890.1",0
"AC004890.2",0
"AC004890.3",25
"AC004893.1",359
"AC004893.2",0
"AC004895.1",5
"AC004898.1",16
"AC004899.1",0
"AC004899.2",0
"AC004900.1",591
"AC004906.1",10
"AC004908.1",30
"AC004908.2",0
"AC004908.3",0
"AC004910.1",0
"AC004911.1",0
"AC004917.1",37
"AC004918.1",0
"AC004918.2",0
"AC004918.3",0
"AC004920.1",0
"AC004921.1",0
"AC004922.1",0
"AC004923.1",0
"AC004923.2",0
"AC004923.3",0
"AC004923.4",0
"AC004925.1",0
"AC004930.1",0
"AC004936.1",0
"AC004938.1",0
"AC004941.1",0
"AC004941.2",0
"AC004943.1",324
"AC004943.2",1135
"AC004943.3",0
"AC004944.1",0
"AC004945.1",2
"AC004946.1",0
"AC004947.1",0
"AC004947.2",0
"AC004948.1",0
"AC004949.1",0
"AC004951.1",0
"AC004951.2",0
"AC004951.3",0
"AC004951.4",4
"AC004965.1",0
"AC004967.1",0
"AC004967.2",0
"AC004969.1",0
"AC004972.1",0
"AC004973.1",0
"AC004974.1",1259
"AC004975.1",6
"AC004975.2",0
"AC004980.1",0
"AC004980.2",0
"AC004980.3",0
"AC004980.4",0
"AC004980.5",0
"AC004980.6",2
"AC004980.7",1
"AC004982.1",0
"AC004982.2",24
"AC004986.1",10
"AC004987.1",0
"AC004987.2",0
"AC004987.3",0
"AC004987.4",0
"AC004988.1",47
"AC004990.1",0
"AC004994.1",0
"AC004997.1",0
"AC005000.1",0
"AC005000.2",0
"AC005002.1",0
"AC005002.2",0
"AC005005.1",0
"AC005005.2",0
"AC005005.3",103
"AC005005.4",0
"AC005006.1",1
"AC005008.1",0
"AC005008.2",0
"AC005009.1",0
"AC005009.2",0
"AC005011.1",0
"AC005013.1",2
"AC005014.1",0
"AC005014.2",0
"AC005014.3",0
"AC005019.1",0
"AC005019.2",0
"AC005020.1",29
"AC005020.2",0
"AC005021.1",623
"AC005033.1",0
"AC005034.1",0
"AC005034.2",120
"AC005034.3",30
"AC005034.4",0
"AC005034.5",65
"AC005037.1",152
"AC005040.1",0
"AC005041.1",0
"AC005041.2",0
"AC005041.3",29
"AC005042.1",0
"AC005042.2",0
"AC005042.3",0
"AC005046.1",6
"AC005050.1",0
"AC005052.1",0
"AC005062.1",0
"AC005064.1",0
"AC005066.1",0
"AC005070.1",3
"AC005070.2",3
"AC005070.3",480
"AC005072.1",0
"AC005076.1",0
"AC005077.1",0
"AC005077.2",0
"AC005077.3",0
"AC005077.4",1527
"AC005082.1",0
"AC005082.2",243
"AC005083.1",0
"AC005084.1",2
"AC005086.1",12
"AC005086.2",3
"AC005086.3",1
"AC005086.4",238
"AC005088.1",0
"AC005089.1",0
"AC005090.1",0
"AC005091.1",247
"AC005094.1",0
"AC005096.1",78
"AC005099.1",8
"AC005100.1",0
"AC005102.1",1
"AC005104.1",392
"AC005104.2",0
"AC005105.1",0
"AC005144.1",0
"AC005150.1",0
"AC005154.1",16
"AC005154.2",0
"AC005154.3",38
"AC005154.4",14
"AC005154.5",0
"AC005156.1",63
"AC005160.1",0
"AC005162.1",1
"AC005162.2",0
"AC005162.3",7
"AC005165.1",0
"AC005165.2",0
"AC005176.1",0
"AC005176.2",0
"AC005178.1",0
"AC005180.1",0
"AC005180.2",1
"AC005181.1",0
"AC005183.1",0
"AC005183.2",0
"AC005185.1",0
"AC005186.1",0
"AC005189.1",0
"AC005191.1",0
"AC005197.1",0
"AC005208.1",0
"AC005209.1",0
"AC005220.1",0
"AC005224.1",0
"AC005224.2",0
"AC005224.3",0
"AC005225.1",1
"AC005225.2",0
"AC005225.3",22
"AC005225.4",4
"AC005229.1",0
"AC005229.2",0
"AC005229.3",0
"AC005229.4",1
"AC005230.1",11
"AC005232.1",1
"AC005234.1",0
"AC005237.1",43
"AC005237.2",0
"AC005244.1",0
"AC005244.2",0
"AC005252.1",0
"AC005252.2",0
"AC005252.3",0
"AC005253.1",207
"AC005253.2",662
"AC005255.1",0
"AC005256.1",0
"AC005258.1",0
"AC005261.1",0
"AC005261.2",73
"AC005261.3",4
"AC005261.4",1
"AC005261.5",2264
"AC005262.1",0
"AC005262.2",476
"AC005264.1",6
"AC005274.1",0
"AC005277.1",2
"AC005277.2",1
"AC005280.1",4
"AC005280.2",1
"AC005280.3",0
"AC005281.1",1
"AC005288.1",223
"AC005291.1",0
"AC005291.2",0
"AC005293.1",0
"AC005293.2",0
"AC005294.1",0
"AC005296.1",0
"AC005297.1",0
"AC005297.2",0
"AC005297.3",0
"AC005300.1",0
"AC005301.1",0
"AC005303.1",0
"AC005304.1",0
"AC005304.2",1
"AC005304.3",0
"AC005306.1",355
"AC005307.1",0
"AC005323.1",0
"AC005323.2",0
"AC005324.1",0
"AC005324.2",0
"AC005324.3",0
"AC005324.4",0
"AC005324.5",3
"AC005324.6",0
"AC005326.1",1
"AC005329.1",2306
"AC005329.2",388
"AC005329.3",914
"AC005330.1",0
"AC005332.1",1
"AC005332.2",0
"AC005332.3",0
"AC005332.4",0
"AC005332.5",0
"AC005332.6",0
"AC005332.7",0
"AC005336.1",1
"AC005336.2",0
"AC005336.3",520
"AC005339.1",521
"AC005341.1",0
"AC005342.1",0
"AC005342.2",0
"AC005342.3",0
"AC005342.4",0
"AC005343.1",0
"AC005343.2",0
"AC005344.1",0
"AC005344.2",0
"AC005345.1",0
"AC005351.1",0
"AC005355.1",0
"AC005355.2",0
"AC005357.1",0
"AC005357.2",0
"AC005358.1",0
"AC005358.2",1
"AC005363.1",0
"AC005363.2",0
"AC005377.1",0
"AC005379.1",1
"AC005381.1",0
"AC005383.1",0
"AC005387.1",19
"AC005387.2",6281
"AC005391.1",0
"AC005392.1",0
"AC005392.2",0
"AC005392.3",0
"AC005393.1",0
"AC005393.2",0
"AC005394.1",0
"AC005394.2",0
"AC005410.1",0
"AC005410.2",0
"AC005412.1",0
"AC005414.1",0
"AC005414.2",0
"AC005476.1",32
"AC005476.2",13
"AC005479.1",0
"AC005479.2",0
"AC005480.1",268
"AC005480.2",7
"AC005481.1",0
"AC005482.1",0
"AC005486.1",1
"AC005487.1",0
"AC005495.1",115
"AC005498.1",0
"AC005498.2",0
"AC005498.3",2
"AC005514.1",0
"AC005515.1",0
"AC005518.1",0
"AC005518.2",0
"AC005519.1",0
"AC005520.1",0
"AC005520.2",3
"AC005520.3",0
"AC005520.4",0
"AC005520.5",310
"AC005521.1",0
"AC005522.1",4
"AC005523.1",0
"AC005523.2",1249
"AC005524.1",0
"AC005529.1",0
"AC005531.1",0
"AC005532.1",0
"AC005532.2",0
"AC005534.1",11
"AC005534.2",14
"AC005537.1",0
"AC005538.1",0
"AC005538.2",0
"AC005539.1",7
"AC005540.1",1202
"AC005544.1",0
"AC005544.2",0
"AC005546.1",0
"AC005548.1",0
"AC005549.1",0
"AC005550.1",0
"AC005550.2",0
"AC005551.1",0
"AC005552.1",0
"AC005559.1",0
"AC005562.1",0
"AC005578.1",47
"AC005580.1",0
"AC005586.1",922
"AC005586.2",3
"AC005587.1",0
"AC005588.1",0
"AC005592.1",0
"AC005593.1",0
"AC005597.1",0
"AC005606.1",549
"AC005606.2",250
"AC005609.1",0
"AC005609.2",0
"AC005609.3",0
"AC005609.4",1
"AC005609.5",1
"AC005614.1",0
