"V1" "V2"
"539" "ENSG00000037280.15" 0
"540" "ENSG00000037474.14" 142
"541" "ENSG00000037637.10" 0
"542" "ENSG00000037749.12" 3
"543" "ENSG00000037757.13" 0
"544" "ENSG00000037897.16" 10
"545" "ENSG00000037965.5" 0
"546" "ENSG00000038002.8" 3
"547" "ENSG00000038210.12" 1
"548" "ENSG00000038219.12" 0
"549" "ENSG00000038274.16" 0
"550" "ENSG00000038295.7" 0
"551" "ENSG00000038358.14" 0
"552" "ENSG00000038382.19" 28
"553" "ENSG00000038427.15" 2
"554" "ENSG00000038532.15" 6
"555" "ENSG00000038945.14" 0
"556" "ENSG00000039068.18" 16
"557" "ENSG00000039123.15" 283
"558" "ENSG00000039139.9" 0
"559" "ENSG00000039319.16" 68
"560" "ENSG00000039523.19" 116
"561" "ENSG00000039537.13" 16
"562" "ENSG00000039560.13" 5
"563" "ENSG00000039600.10" 7
"564" "ENSG00000039650.11" 998
"565" "ENSG00000039987.6" 0
"566" "ENSG00000040199.18" 81
"567" "ENSG00000040275.16" 0
"568" "ENSG00000040341.17" 0
"569" "ENSG00000040487.12" 1
"570" "ENSG00000040531.14" 54
"571" "ENSG00000040608.13" 0
"572" "ENSG00000040633.12" 0
"573" "ENSG00000040731.10" 0
"574" "ENSG00000040933.15" 14
"575" "ENSG00000041353.9" 0
"576" "ENSG00000041357.15" 5
"577" "ENSG00000041515.15" 0
"578" "ENSG00000041802.10" 10
"579" "ENSG00000041880.14" 0
"580" "ENSG00000041982.15" 5
"581" "ENSG00000041988.15" 575
"582" "ENSG00000042062.11" 20
"583" "ENSG00000042088.13" 2
"584" "ENSG00000042286.14" 5
"585" "ENSG00000042304.11" 0
"586" "ENSG00000042317.16" 60
"587" "ENSG00000042429.11" 0
"588" "ENSG00000042445.13" 8
"589" "ENSG00000042493.15" 0
"590" "ENSG00000042753.11" 1
"591" "ENSG00000042781.12" 48
"592" "ENSG00000042813.7" 0
"593" "ENSG00000042832.11" 0
"594" "ENSG00000042980.12" 2
"595" "ENSG00000043039.6" 0
"596" "ENSG00000043093.13" 4
"597" "ENSG00000043143.20" 10
"598" "ENSG00000043355.11" 4
"599" "ENSG00000043462.11" 2
"600" "ENSG00000043514.16" 1
"601" "ENSG00000043591.5" 0
"602" "ENSG00000044012.3" 0
"603" "ENSG00000044090.8" 41
"604" "ENSG00000044115.20" 100
"605" "ENSG00000044446.11" 35
"606" "ENSG00000044459.14" 0
"607" "ENSG00000044524.10" 0
"608" "ENSG00000044574.7" 45
"609" "ENSG00000046604.12" 0
"610" "ENSG00000046647.13" 0
"611" "ENSG00000046651.14" 0
"612" "ENSG00000046653.14" 18
"613" "ENSG00000046774.9" 0
"614" "ENSG00000046889.18" 0
"615" "ENSG00000047056.15" 31
"616" "ENSG00000047188.15" 0
"617" "ENSG00000047230.14" 0
"618" "ENSG00000047249.17" 0
"619" "ENSG00000047315.15" 54
"620" "ENSG00000047346.12" 4
"621" "ENSG00000047365.11" 0
"622" "ENSG00000047410.13" 530
"623" "ENSG00000047457.13" 95
"624" "ENSG00000047578.12" 0
"625" "ENSG00000047579.19" 2
"626" "ENSG00000047597.6" 0
"627" "ENSG00000047617.14" 0
"628" "ENSG00000047621.11" 0
"629" "ENSG00000047634.14" 0
"630" "ENSG00000047644.18" 0
"631" "ENSG00000047648.21" 0
"632" "ENSG00000047662.4" 190
"633" "ENSG00000047849.21" 7
"634" "ENSG00000047932.13" 14
"635" "ENSG00000047936.10" 0
"636" "ENSG00000048028.11" 8
"637" "ENSG00000048052.21" 0
"638" "ENSG00000048140.17" 0
"639" "ENSG00000048162.20" 749
"640" "ENSG00000048342.15" 241
"641" "ENSG00000048392.11" 0
"642" "ENSG00000048405.9" 0
"643" "ENSG00000048462.10" 0
"644" "ENSG00000048471.13" 0
"645" "ENSG00000048540.14" 60
"646" "ENSG00000048544.5" 0
"647" "ENSG00000048545.13" 0
"648" "ENSG00000048649.13" 6
"649" "ENSG00000048707.15" 1
"650" "ENSG00000048740.18" 0
"651" "ENSG00000048828.16" 29
"652" "ENSG00000048991.16" 5
"653" "ENSG00000049089.14" 0
"654" "ENSG00000049130.15" 0
"655" "ENSG00000049167.14" 0
"656" "ENSG00000049192.14" 0
"657" "ENSG00000049239.12" 17
"658" "ENSG00000049245.12" 0
"659" "ENSG00000049246.14" 3
"660" "ENSG00000049247.13" 211
"661" "ENSG00000049249.8" 0
"662" "ENSG00000049283.17" 8
"663" "ENSG00000049323.15" 2
"664" "ENSG00000049449.9" 1
"665" "ENSG00000049540.16" 0
"666" "ENSG00000049541.10" 0
"667" "ENSG00000049618.23" 31
"668" "ENSG00000049656.13" 0
"669" "ENSG00000049759.17" 28
"670" "ENSG00000049768.14" 13
"671" "ENSG00000049769.12" 0
"672" "ENSG00000049860.13" 264
"673" "ENSG00000049883.14" 0
"674" "ENSG00000050030.14" 0
"675" "ENSG00000050130.17" 0
"676" "ENSG00000050165.17" 0
"677" "ENSG00000050327.14" 0
"678" "ENSG00000050344.8" 350
"679" "ENSG00000050393.11" 2
"680" "ENSG00000050405.13" 0
"681" "ENSG00000050426.15" 0
"682" "ENSG00000050438.16" 0
"683" "ENSG00000050555.17" 2
"684" "ENSG00000050628.20" 0
"685" "ENSG00000050730.15" 0
"686" "ENSG00000050748.17" 3
"687" "ENSG00000050767.16" 3
"688" "ENSG00000050820.16" 16
"689" "ENSG00000051009.10" 0
"690" "ENSG00000051108.14" 1
"691" "ENSG00000051128.18" 4
"692" "ENSG00000051180.16" 9
"693" "ENSG00000051341.13" 0
"694" "ENSG00000051382.8" 5
"695" "ENSG00000051523.10" 0
"696" "ENSG00000051596.9" 3
"697" "ENSG00000051620.10" 94
"698" "ENSG00000051825.14" 5
"699" "ENSG00000052126.14" 5
"700" "ENSG00000052344.15" 12
"701" "ENSG00000052723.11" 0
"702" "ENSG00000052749.13" 0
"703" "ENSG00000052795.12" 5
"704" "ENSG00000052802.12" 2
"705" "ENSG00000052841.14" 0
"706" "ENSG00000052850.6" 9
"707" "ENSG00000053108.16" 0
"708" "ENSG00000053254.15" 4
"709" "ENSG00000053328.8" 3
"710" "ENSG00000053371.12" 186
"711" "ENSG00000053372.4" 561
"712" "ENSG00000053438.9" 158
"713" "ENSG00000053501.12" 4
"714" "ENSG00000053524.12" 188
"715" "ENSG00000053702.14" 141
"716" "ENSG00000053747.16" 0
"717" "ENSG00000053770.11" 0
"718" "ENSG00000053900.10" 0
"719" "ENSG00000053918.16" 12
"720" "ENSG00000054116.11" 4
"721" "ENSG00000054118.14" 5
"722" "ENSG00000054148.17" 10
"723" "ENSG00000054179.11" 2
"724" "ENSG00000054219.10" 0
"725" "ENSG00000054267.21" 9
"726" "ENSG00000054277.13" 201
"727" "ENSG00000054282.15" 0
"728" "ENSG00000054356.13" 0
"729" "ENSG00000054392.12" 0
"730" "ENSG00000054523.17" 8
"731" "ENSG00000054598.7" 0
"732" "ENSG00000054611.13" 0
"733" "ENSG00000054654.16" 14
"734" "ENSG00000054690.13" 120
"735" "ENSG00000054793.13" 34
"736" "ENSG00000054796.12" 0
"737" "ENSG00000054803.3" 0
"738" "ENSG00000054938.15" 0
"739" "ENSG00000054965.10" 13
"740" "ENSG00000054967.12" 2
"741" "ENSG00000054983.16" 0
"742" "ENSG00000055044.10" 4
"743" "ENSG00000055070.16" 0
"744" "ENSG00000055118.14" 1
"745" "ENSG00000055130.15" 80
"746" "ENSG00000055147.18" 3
"747" "ENSG00000055163.19" 7
"748" "ENSG00000055208.18" 0
"749" "ENSG00000055211.13" 2
"750" "ENSG00000055332.17" 23
"751" "ENSG00000055483.19" 15
"752" "ENSG00000055609.17" 14
"753" "ENSG00000055732.12" 0
"754" "ENSG00000055813.5" 3
"755" "ENSG00000055917.15" 5
"756" "ENSG00000055950.16" 1567
"757" "ENSG00000055955.15" 0
"758" "ENSG00000055957.10" 142
"759" "ENSG00000056050.6" 1
"760" "ENSG00000056097.15" 7
"761" "ENSG00000056277.15" 0
"762" "ENSG00000056291.17" 0
"763" "ENSG00000056487.15" 0
"764" "ENSG00000056558.10" 0
"765" "ENSG00000056586.15" 3
"766" "ENSG00000056678.11" 0
"767" "ENSG00000056736.9" 49
"768" "ENSG00000056972.18" 17
"769" "ENSG00000056998.19" 4
"770" "ENSG00000057019.15" 89
"771" "ENSG00000057149.15" 0
"772" "ENSG00000057252.12" 0
"773" "ENSG00000057294.14" 14
"774" "ENSG00000057468.6" 0
"775" "ENSG00000057593.13" 41
